$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$Inter-Dependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.5,0.98,2.73,0.53,62.84,44.71,0.85,3.28,3.27,180.22,0.64,0.5
0.18,1.13,4.81,0.46,75.28,44.44,2.58,0.73,13.86,834.5,0.98,0.47
0.4,1.07,3.59,0.55,44.37,41.27,0.96,0.53,27.32,287.5,0.91,0.33
0.34,1.04,4.94,0.53,41.38,1.11,1.96,0.84,35.74,485.74,0.98,0.4
0.82,0.86,6.94,0.66,38.39,44.19,3.24,1.76,28.77,990.91,0.56,0.0
0.28,1.07,6.79,0.59,71.81,4.69,3.49,3.74,23.6,1226.71,0.9,0.13
0.15,0.95,5.58,0.6,46.05,6.08,1.97,3.07,40.28,638.76,0.94,0.4
0.18,1.1,3.75,0.58,37.75,7.43,1.58,0.4,5.62,393.86,0.91,0.5
0.26,0.94,9.37,0.62,91.29,48.65,1.64,1.96,22.85,780.24,0.76,0.0
0.56,1.03,7.27,0.49,29.65,33.07,2.56,0.44,37.15,1124.58,0.92,0.39
0.5,0.89,8.59,0.6,50.52,14.36,1.76,0.6,26.01,655.84,0.68,0.0
0.55,1.18,3.2,0.41,87.74,31.05,3.89,1.42,19.41,640.86,0.83,0.44
0.62,0.82,5.84,0.46,56.11,32.04,2.42,0.78,36.69,704.74,0.83,0.0
0.71,1.11,3.18,0.41,97.46,33.71,2.94,3.1,36.76,538.99,0.88,0.19
0.23,0.91,5.44,0.43,4.98,26.1,2.27,2.0,13.31,567.69,0.95,0.48
0.88,1.07,7.4,0.7,45.8,48.76,3.77,2.49,30.28,1382.53,0.78,0.0
0.36,0.99,5.05,0.59,18.02,19.16,2.05,3.26,12.46,573.09,0.93,0.36
0.58,1.19,7.07,0.62,69.37,41.78,1.71,3.89,31.73,1064.21,0.83,0.04
0.75,1.16,2.32,0.58,22.21,47.19,3.64,0.24,26.6,437.7,0.86,0.08
0.53,0.86,4.71,0.46,71.58,18.07,0.23,1.65,35.29,203.43,0.67,0.0
0.17,0.89,2.38,0.58,47.85,43.87,1.03,3.66,13.93,184.03,0.86,0.26
0.24,1.06,3.87,0.65,42.16,33.15,1.8,3.1,23.77,475.71,0.97,0.19
0.22,0.92,2.0,0.61,36.02,45.54,2.89,1.46,14.57,257.28,0.68,0.0
0.46,1.0,3.54,0.54,66.28,11.58,1.7,4.72,8.94,228.95,0.73,0.0
0.53,0.91,8.66,0.48,66.56,39.4,0.9,0.4,5.43,308.03,0.54,0.0
0.17,1.15,4.09,0.49,85.01,4.3,3.86,1.07,9.18,691.46,0.93,0.56
0.3,1.1,3.57,0.67,91.94,45.62,0.88,2.98,33.52,296.91,0.4,0.0
0.2,0.87,6.88,0.43,1.75,8.36,3.3,1.64,22.6,835.4,0.8,0.05
0.49,0.94,2.92,0.56,29.45,16.8,1.2,0.4,37.85,289.62,0.77,0.0
0.61,0.96,5.58,0.58,91.53,26.48,0.81,3.69,7.21,437.43,1.0,0.33
0.87,1.04,8.7,0.58,16.27,6.91,3.68,1.59,16.81,1391.42,0.89,0.48
0.16,1.07,8.63,0.42,66.3,39.86,3.86,1.02,43.06,1966.98,0.88,0.37
0.41,0.9,9.64,0.69,38.12,44.36,0.88,1.54,42.99,591.32,0.93,0.15
0.89,0.95,8.48,0.48,85.64,45.59,0.47,2.14,17.58,441.53,1.0,0.0
0.81,1.2,4.44,0.46,7.5,32.81,1.1,2.85,27.25,724.36,1.0,0.56
0.19,1.11,3.45,0.48,84.53,18.56,3.01,0.61,2.48,505.63,0.9,0.56
0.5,0.85,9.22,0.44,95.75,13.34,0.71,0.83,6.94,414.55,0.86,0.45
0.68,0.9,6.28,0.62,36.53,45.43,0.88,2.51,5.3,251.24,0.67,0.33
0.38,1.02,6.2,0.45,43.04,7.66,3.96,4.18,41.48,1174.46,0.98,0.24
0.25,0.91,8.39,0.54,42.85,22.11,2.89,3.61,33.11,1122.95,0.67,0.04
0.82,1.12,3.56,0.52,98.39,18.77,3.83,2.93,42.17,770.09,0.68,0.0
0.87,1.05,6.59,0.64,43.6,35.06,2.5,2.6,28.42,965.18,0.99,0.14
0.41,1.1,4.31,0.51,87.91,38.85,0.45,2.53,7.5,270.48,0.94,0.06
0.27,0.99,6.76,0.55,3.47,23.26,2.42,4.34,11.09,886.3,0.78,0.02
0.85,0.99,6.59,0.49,16.98,49.09,1.59,3.37,33.59,816.28,0.97,0.08
0.77,0.88,4.65,0.58,26.94,33.71,1.3,2.14,31.89,521.59,0.94,0.21
0.33,1.13,3.41,0.51,40.87,48.45,1.98,0.17,18.33,435.94,0.9,0.1
0.75,0.84,6.26,0.6,41.96,18.87,0.61,2.81,11.06,292.82,0.57,0.0
0.13,0.97,8.02,0.61,12.55,14.49,2.2,3.3,32.44,1123.14,0.97,0.35
0.6,1.11,8.32,0.51,42.52,9.73,1.89,3.7,27.55,1142.96,0.75,0.0
0.7,1.02,6.87,0.54,28.07,44.53,1.55,4.6,16.32,586.46,0.83,0.06
0.38,0.96,8.18,0.57,58.06,40.56,0.14,0.35,23.6,749.67,0.44,0.2
0.25,0.88,9.22,0.44,55.55,36.92,3.29,1.18,32.4,1256.3,0.72,0.0
0.31,1.09,6.5,0.48,49.77,29.09,3.28,1.28,2.22,1155.95,0.59,0.1
0.71,0.84,4.52,0.56,30.39,49.74,0.86,2.58,28.35,239.19,1.0,0.47
0.47,1.11,4.73,0.42,11.61,28.68,1.22,1.28,17.65,529.02,0.88,0.46
0.84,1.14,8.56,0.4,76.1,32.37,2.75,3.15,42.88,1635.67,0.79,0.04
0.15,0.99,5.32,0.56,23.24,33.22,0.41,1.03,4.79,255.52,0.48,0.0
0.61,0.92,2.48,0.61,30.22,44.5,3.01,0.73,9.74,361.83,0.79,0.14
0.84,1.04,7.34,0.48,50.38,10.8,3.22,0.91,24.17,1538.26,0.97,0.25
0.58,1.03,9.98,0.58,77.24,36.3,2.5,2.95,22.84,1602.1,0.98,0.27
0.82,0.88,8.61,0.5,17.59,44.76,0.42,3.48,26.4,472.5,0.91,0.55
0.63,1.1,9.9,0.54,96.1,9.18,3.72,2.33,14.34,2252.66,0.98,0.5
0.45,1.01,7.08,0.63,91.73,48.66,0.26,1.19,43.57,568.74,0.9,0.28
0.15,1.12,9.1,0.68,61.01,31.22,1.91,2.75,21.9,1175.22,0.94,0.17
0.64,1.01,5.57,0.61,98.97,17.34,2.74,2.83,6.72,698.22,0.84,0.07
0.1,1.18,5.7,0.47,81.71,39.23,0.64,2.4,13.42,483.09,0.73,0.0
