$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$Inter-Dependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.58,1.15,3.33,0.44,71.62,11.59,3.09,0.63,6.77,612.82,0.77,0.06
0.67,0.97,6.51,0.69,13.77,39.87,3.85,4.39,2.1,779.04,0.73,0.17
0.69,1.06,2.32,0.43,82.14,10.29,3.63,5.0,31.8,446.68,0.9,0.4
0.11,0.83,9.86,0.53,66.72,25.6,1.12,2.58,7.86,531.53,0.91,0.28
0.89,0.93,4.44,0.49,7.0,31.96,2.29,2.41,11.52,492.86,0.98,0.49
0.26,0.91,5.6,0.54,45.45,45.96,2.97,1.52,23.08,627.42,0.74,0.0
0.89,1.0,8.3,0.53,13.2,10.03,2.91,1.66,43.87,1393.99,0.77,0.0
0.48,0.89,8.8,0.7,69.16,15.28,3.09,4.6,37.54,1390.78,0.85,0.02
0.22,0.87,2.79,0.52,62.99,5.5,1.47,1.94,26.42,284.41,0.93,0.43
0.5,1.17,6.45,0.43,12.47,24.06,3.18,1.09,9.69,1398.37,0.85,0.26
0.19,1.1,9.68,0.64,88.75,3.03,0.2,4.23,7.02,498.11,0.89,0.38
0.62,0.99,5.22,0.45,92.72,33.06,1.03,4.09,18.22,553.21,0.69,0.11
0.82,1.14,2.19,0.65,41.53,33.24,1.87,3.9,11.86,185.85,0.55,0.0
0.48,0.94,3.59,0.56,51.24,20.17,2.03,3.01,31.87,419.47,0.95,0.29
0.73,0.92,7.14,0.65,65.66,10.02,1.09,4.78,21.67,610.9,0.98,0.43
0.44,1.06,3.43,0.43,83.87,1.54,1.55,4.99,24.84,379.41,0.98,0.34
0.31,1.08,8.61,0.41,14.97,4.08,2.23,1.82,12.53,1202.58,0.95,0.55
0.4,0.87,7.18,0.48,60.84,6.34,0.2,3.88,2.99,259.34,0.92,0.4
0.78,1.07,5.74,0.63,6.71,12.38,2.06,0.43,31.57,958.99,0.73,0.02
0.61,0.97,7.8,0.58,79.06,23.75,2.68,4.75,41.52,1076.56,0.96,0.29
0.74,0.93,4.96,0.49,43.43,3.41,0.56,4.79,11.76,318.04,0.8,0.0
0.83,0.86,9.56,0.5,9.49,2.89,1.67,1.26,10.81,546.47,0.83,0.23
0.25,1.17,4.12,0.5,96.02,45.0,1.75,3.47,19.81,429.7,0.96,0.17
0.7,1.01,3.15,0.57,66.42,47.29,1.53,3.74,15.03,239.46,0.71,0.04
0.27,0.95,4.56,0.68,39.13,28.3,0.72,0.96,25.39,499.69,0.1,0.0
0.79,1.0,6.39,0.55,77.97,4.64,1.38,0.51,4.67,522.56,0.88,0.57
0.21,1.14,5.47,0.51,89.25,29.38,1.25,4.18,38.19,876.7,1.0,0.31
0.43,1.15,7.16,0.53,8.72,38.59,0.92,3.81,10.08,515.09,0.96,0.41
0.53,0.94,7.6,0.58,24.78,32.09,0.09,1.67,23.77,568.49,0.8,0.11
0.68,1.09,6.72,0.68,71.4,30.73,0.64,4.7,22.55,557.29,0.59,0.0
0.19,0.83,3.88,0.41,21.08,1.73,2.22,2.02,25.38,450.74,0.98,0.47
0.28,0.92,6.13,0.48,20.45,21.57,3.62,1.09,21.27,891.96,0.75,0.02
0.61,0.84,6.67,0.6,8.4,41.78,2.18,4.38,37.01,901.32,0.96,0.32
0.67,1.15,4.93,0.45,80.52,29.91,1.67,2.69,11.17,575.06,0.95,0.46
0.24,0.9,6.84,0.57,27.47,34.83,2.23,1.42,42.0,984.8,0.92,0.57
0.22,1.15,7.0,0.65,2.83,29.92,0.21,3.25,24.56,601.8,0.5,0.0
0.53,1.14,5.49,0.45,32.87,26.96,0.61,1.33,16.49,439.38,0.91,0.7
0.71,0.97,3.79,0.52,80.78,11.59,3.86,0.07,21.82,568.21,0.98,0.27
0.62,1.14,7.15,0.7,18.83,42.56,3.1,4.11,32.61,1481.16,0.89,0.06
0.16,1.17,9.03,0.51,7.86,48.72,1.49,4.05,17.23,1092.45,0.93,0.33
0.24,0.91,9.03,0.68,34.69,29.05,2.76,3.08,19.65,891.85,0.84,0.08
0.66,0.86,7.3,0.59,23.48,10.55,1.3,3.2,3.32,406.4,0.88,0.57
0.85,1.13,3.57,0.69,17.31,21.55,0.05,4.29,19.89,241.16,0.93,0.19
0.31,0.85,9.47,0.61,84.16,28.28,1.18,2.17,15.54,654.81,0.98,0.46
0.55,1.1,3.14,0.61,92.07,20.88,1.48,3.42,42.44,505.63,1.0,0.27
0.15,1.17,6.02,0.62,74.58,14.97,0.34,2.12,5.78,423.76,0.78,0.0
0.41,0.92,7.11,0.53,65.04,15.29,0.46,3.56,38.05,591.17,0.86,0.57
0.48,0.83,7.07,0.5,63.98,32.49,1.37,2.34,41.16,563.96,0.91,0.26
0.75,0.86,2.74,0.68,58.43,43.73,2.88,4.98,28.01,347.83,0.98,0.16
0.33,1.07,2.87,0.54,44.52,2.83,1.72,1.02,19.56,288.16,0.87,0.35
0.88,0.85,9.18,0.59,15.65,1.04,3.5,4.24,14.21,979.75,0.97,0.46
0.39,0.84,5.62,0.41,28.12,36.39,1.53,4.96,32.89,539.33,0.97,0.29
0.86,1.19,6.38,0.61,79.76,46.71,2.4,0.02,35.74,1270.43,0.79,0.01
0.48,0.87,6.31,0.44,8.43,3.41,0.25,1.24,5.54,235.95,0.71,0.58
0.22,0.9,2.97,0.51,63.27,27.77,1.88,0.57,4.72,239.57,0.85,0.15
0.11,0.88,3.6,0.58,71.8,15.82,2.2,4.39,33.01,460.84,0.98,0.35
0.56,1.18,8.39,0.59,56.7,25.8,1.13,0.64,14.28,1226.94,0.97,0.27
0.56,0.92,3.39,0.69,29.61,40.87,0.96,3.25,33.25,278.12,0.86,0.14
0.68,0.98,9.82,0.65,82.28,47.13,2.04,1.92,31.68,1552.0,0.8,0.13
0.87,1.11,5.74,0.48,27.28,17.72,3.92,2.66,3.83,862.11,0.85,0.18
0.5,0.82,3.32,0.52,79.45,9.68,1.03,3.44,12.88,220.69,0.81,0.19
0.23,1.08,8.59,0.6,68.2,45.47,3.06,3.9,14.64,1495.41,0.81,0.06
0.2,0.95,3.26,0.45,45.39,29.81,1.48,3.63,43.69,337.83,0.95,0.1
0.46,1.13,9.21,0.65,43.77,26.24,2.82,3.2,31.77,1768.79,0.93,0.22
0.65,1.2,5.03,0.44,72.09,43.88,1.77,4.11,8.29,602.49,0.95,0.49
0.69,0.89,5.15,0.53,7.25,45.14,2.9,3.23,13.92,562.65,0.77,0.16
0.86,0.87,6.0,0.7,53.16,28.03,0.91,0.34,10.85,343.09,0.22,0.0
0.18,0.86,9.96,0.66,34.27,16.79,1.14,4.7,27.96,781.57,0.59,0.0
