$Culture,$Criticality,$CriticalityModifier,$InitialKnown,$InterDependency,$Dynamism,$Size,$Plan,$TeamSize,-cost,+completion,-idle
0.72,0.94,5.06,0.58,67.72,16.53,1.52,1.62,37.57,545.08,0.91,0.5
0.71,1.16,2.19,0.61,99.78,26.05,3.49,3.42,38.19,474.68,0.97,0.42
0.15,0.94,6.88,0.63,60.16,20.51,0.4,2.13,22.07,410.2,1.0,0.47
0.36,1.19,5.4,0.6,33.03,27.5,0.57,4.05,9.16,414.47,1.0,0.22
0.9,0.92,4.29,0.55,15.98,38.78,0.4,4.59,41.87,394.04,0.9,0.36
0.67,1.14,5.39,0.56,2.44,13.6,0.36,3.6,33.54,517.23,1.0,0.29
0.49,0.93,8.94,0.67,77.35,30.99,1.33,3.99,3.51,731.3,0.37,0.0
0.7,1.13,5.91,0.62,42.35,2.24,2.62,2.82,21.61,812.38,0.92,0.26
0.89,0.82,4.76,0.55,37.55,17.33,1.8,3.3,27.91,502.02,0.97,0.54
0.8,0.98,7.81,0.52,48.38,5.02,2.36,1.57,6.65,794.87,0.81,0.33
0.59,1.14,8.22,0.61,33.44,28.47,1.43,3.6,14.78,849.54,0.95,0.39
0.67,1.06,9.53,0.62,25.07,7.52,3.67,4.95,19.85,1723.92,0.97,0.34
0.13,0.85,6.59,0.57,54.21,13.73,0.47,1.83,35.64,398.1,1.0,0.5
0.83,1.04,6.54,0.62,16.21,27.93,2.18,1.75,20.14,934.89,0.94,0.49
0.75,0.88,4.38,0.6,19.69,9.09,1.03,0.09,15.48,318.83,0.79,0.0
0.2,0.98,8.72,0.52,60.34,8.81,1.29,3.92,27.83,798.35,0.86,0.0
0.41,1.19,5.5,0.47,28.12,43.38,3.7,0.34,7.89,1225.62,0.9,0.22
0.69,1.12,3.79,0.56,36.84,10.16,1.1,3.4,40.77,485.82,0.82,0.13
0.37,0.83,2.24,0.66,89.01,35.95,2.03,3.34,22.06,271.13,0.67,0.0
0.8,1.06,3.94,0.56,58.35,26.03,2.63,3.52,28.43,700.92,0.97,0.45
0.76,1.02,5.17,0.59,60.99,11.81,1.69,2.26,21.43,500.16,0.75,0.0
0.83,1.07,8.17,0.41,21.41,30.64,3.57,4.51,16.03,1398.1,0.98,0.39
0.19,0.97,9.01,0.46,51.16,32.85,1.18,2.26,19.14,850.15,0.85,0.03
0.48,0.95,8.22,0.41,12.16,11.24,3.99,2.93,26.71,1191.15,0.95,0.41
0.18,1.19,7.82,0.54,35.38,47.65,3.23,3.71,4.97,1655.22,0.78,0.1
0.86,1.18,3.46,0.49,57.69,14.93,0.46,4.02,7.05,97.81,0.89,0.47
0.88,1.15,8.5,0.48,64.86,48.78,0.13,0.01,3.18,863.1,0.71,0.76
0.36,1.06,3.45,0.43,88.41,40.13,2.03,0.41,14.77,553.41,0.82,0.14
0.19,1.2,2.17,0.49,17.89,31.57,2.59,0.57,38.3,467.96,0.59,0.0
0.46,0.89,6.2,0.57,28.44,17.15,1.4,2.65,21.91,496.19,0.95,0.54
0.74,1.14,2.5,0.57,5.14,49.26,1.69,1.46,21.35,255.05,0.84,0.49
0.8,1.15,4.96,0.41,48.82,25.11,0.57,0.97,43.75,523.25,1.0,0.33
0.74,1.01,2.6,0.64,68.86,21.05,3.11,4.73,42.09,529.86,0.62,0.0
0.31,1.13,3.08,0.7,96.02,49.53,3.68,0.36,12.42,490.03,0.67,0.03
0.8,0.88,6.33,0.42,47.6,28.03,2.53,2.77,15.52,556.2,0.96,0.41
0.12,1.2,9.26,0.42,54.15,28.27,0.12,4.88,31.2,845.89,0.42,0.0
0.13,0.89,7.54,0.69,47.78,6.21,3.7,4.31,6.9,952.52,0.9,0.26
0.22,1.07,3.76,0.44,58.57,43.31,1.69,1.85,16.89,388.3,0.78,0.24
0.22,1.2,8.58,0.53,27.94,38.72,3.48,0.46,24.77,2595.13,0.81,0.04
0.67,1.09,7.62,0.49,44.39,32.25,2.6,0.54,21.79,1230.38,0.67,0.0
0.66,0.84,6.17,0.57,48.4,25.37,2.59,0.07,19.44,574.18,0.99,0.35
0.61,1.01,8.29,0.65,38.0,12.41,2.91,3.31,26.57,1056.74,0.96,0.42
0.5,0.92,2.59,0.7,27.63,17.68,2.98,2.83,13.55,260.81,0.82,0.06
0.13,0.97,5.78,0.61,41.7,32.67,3.99,0.88,9.92,709.81,0.76,0.04
0.62,1.13,4.39,0.42,61.93,41.91,0.72,3.82,39.68,307.98,1.0,0.18
0.45,1.0,8.3,0.48,36.53,8.9,2.19,2.41,8.39,955.41,0.95,0.41
0.39,0.94,8.1,0.57,52.52,29.17,3.59,1.17,1.13,888.63,0.79,0.62
0.79,0.94,3.21,0.45,53.4,24.32,0.18,0.21,34.16,247.65,1.0,0.58
0.28,0.97,5.33,0.61,46.65,13.37,0.64,4.02,13.9,292.42,0.88,0.42
0.33,1.08,6.15,0.66,41.61,37.83,2.96,0.71,35.19,1105.49,0.75,0.03
0.23,1.06,9.61,0.49,71.41,10.16,3.9,1.43,26.05,1718.84,0.94,0.57
0.51,1.02,8.97,0.57,3.92,44.44,2.69,0.91,29.23,1207.36,0.61,0.0
0.63,1.18,9.93,0.55,76.15,2.61,3.5,0.92,10.02,2157.89,0.98,0.37
0.12,0.92,6.65,0.55,46.36,21.22,2.74,2.26,12.71,653.16,0.88,0.14
0.59,1.1,5.7,0.45,55.2,29.38,0.22,0.07,38.29,602.09,0.86,0.33
0.74,1.18,5.37,0.43,58.48,10.29,1.36,4.26,31.16,723.85,0.92,0.26
0.62,0.94,4.23,0.51,15.76,34.26,3.73,0.93,20.01,636.43,0.77,0.0
0.33,0.95,2.43,0.59,56.91,41.76,0.05,3.77,8.85,107.07,0.39,0.0
0.65,0.98,2.45,0.46,82.55,46.83,3.1,0.11,24.8,385.91,0.97,0.31
0.83,0.97,7.16,0.51,17.57,2.61,2.16,0.95,1.34,666.61,0.76,0.69
0.19,0.97,5.61,0.63,13.36,7.55,3.08,4.35,8.51,841.37,0.96,0.48
0.44,1.02,5.91,0.44,58.83,10.18,0.29,4.98,40.32,333.34,0.95,0.4
0.68,0.96,9.29,0.43,53.41,5.62,1.34,1.26,28.11,1096.73,0.83,0.0
0.27,0.87,4.17,0.41,92.79,45.6,1.11,0.6,39.18,418.26,1.0,0.52
0.79,0.94,8.53,0.49,47.77,7.88,2.9,1.41,2.45,721.93,0.87,0.45
0.69,0.87,9.54,0.65,47.61,39.2,0.9,3.79,18.23,506.51,0.83,0.17
0.42,1.15,9.45,0.62,24.75,48.05,2.98,3.88,38.84,2220.81,0.81,0.01
0.82,1.07,7.58,0.67,64.08,6.78,3.44,0.79,23.79,1379.74,0.98,0.36
0.71,0.97,4.4,0.6,56.3,34.99,0.64,3.74,13.57,254.92,0.9,0.0
0.72,0.93,9.45,0.68,72.51,40.87,2.55,4.18,34.98,1712.34,0.48,0.0
0.21,0.9,4.49,0.5,27.42,43.59,2.2,0.94,36.78,548.96,0.96,0.17
0.77,0.98,6.2,0.63,43.53,27.77,0.1,1.38,39.68,485.75,1.0,0.38
0.83,1.15,3.89,0.58,94.72,7.12,3.58,1.17,14.45,777.38,0.93,0.49
0.27,1.05,7.91,0.55,66.18,36.2,1.97,0.88,11.3,667.89,0.9,0.05
0.18,0.99,7.73,0.44,24.79,13.42,2.86,1.67,5.27,881.92,0.88,0.41
0.67,0.96,4.96,0.59,42.61,1.59,0.26,2.16,22.27,398.51,0.88,0.46
0.74,0.98,3.87,0.63,94.81,20.3,0.8,0.82,1.43,173.63,0.38,0.0
0.1,1.1,3.92,0.47,19.01,2.35,1.15,4.11,6.96,391.46,0.92,0.31
0.32,0.97,4.29,0.55,94.81,28.76,0.97,2.97,10.75,191.75,0.9,0.44
0.87,1.13,9.79,0.43,48.26,28.97,2.56,0.88,28.08,1699.49,0.98,0.3
0.28,1.15,2.68,0.57,87.75,27.43,3.61,1.08,29.95,580.06,0.91,0.46
0.19,0.96,7.71,0.57,17.85,12.8,2.21,3.4,35.24,1075.89,0.97,0.41
0.57,0.93,7.55,0.57,15.42,9.06,2.04,1.88,8.61,644.17,0.65,0.0
0.61,1.0,6.95,0.48,49.26,8.39,2.25,2.54,2.86,813.56,0.71,0.08
0.85,0.96,6.05,0.63,47.01,11.19,1.69,3.57,4.87,398.46,0.59,0.0
0.36,0.95,8.98,0.51,73.89,8.54,0.19,1.44,27.41,548.8,0.9,0.18
0.72,0.84,2.46,0.59,40.33,30.57,2.76,4.22,26.98,303.59,0.73,0.05
0.43,1.19,9.17,0.55,95.0,24.23,1.59,1.02,39.26,1807.46,0.92,0.36
0.65,0.9,9.62,0.54,6.78,37.34,0.22,4.33,10.67,318.43,0.53,0.0
0.64,0.94,4.43,0.62,79.39,2.35,3.91,0.0,2.2,464.74,0.89,0.36
0.42,1.0,9.52,0.64,11.68,48.57,3.44,0.65,28.78,1585.54,0.78,0.07
0.57,1.2,5.64,0.6,66.0,37.87,0.63,4.17,42.92,762.78,0.9,0.53
0.58,1.19,5.45,0.47,6.59,23.34,3.08,1.67,9.56,1013.85,0.94,0.5
0.47,0.84,9.36,0.67,88.05,47.04,3.73,0.51,18.65,923.7,0.86,0.1
0.57,1.06,3.51,0.5,6.34,30.35,0.68,3.99,21.71,216.84,0.7,0.06
0.79,1.05,7.01,0.64,89.14,48.57,0.78,2.46,1.4,458.17,0.75,0.4
0.63,0.84,2.06,0.44,95.02,46.49,3.24,3.48,35.48,309.45,0.74,0.0
0.29,1.2,2.71,0.68,58.98,42.18,2.74,0.66,4.49,293.4,0.88,0.35
0.77,1.1,7.02,0.64,54.99,24.73,0.32,2.88,2.65,299.09,0.45,0.0
0.48,0.96,6.44,0.44,96.73,48.28,3.4,1.77,15.33,993.23,0.84,0.19
0.87,1.18,2.55,0.7,13.97,46.86,3.3,0.22,15.47,431.31,0.91,0.16
0.35,0.86,6.9,0.5,22.32,28.02,0.66,1.25,21.58,417.91,1.0,0.0
0.69,1.04,3.09,0.44,88.48,48.89,1.79,1.97,4.09,215.91,0.81,0.14
0.38,1.16,3.78,0.44,5.56,23.51,3.6,0.96,24.72,653.93,0.76,0.0
0.47,1.04,3.29,0.49,1.17,27.71,1.12,2.03,5.98,266.6,0.92,0.56
